קריאה ביקורתית ומדעית,Critical and Scientific Reading,0162-1101-01,רפואה/סיעוד - תכנית בסיסית,א',,,,,הדרכה בי,
קריאה ביקורתית ומדעית,Critical and Scientific Reading,0162-1101-02,רפואה/סיעוד - תכנית בסיסית,א',,,,,הדרכה בי,גב' מילר בת שבע
קריאה ביקורתית ומדעית,Critical and Scientific Reading,0162-1101-03,רפואה/סיעוד - תכנית בסיסית,א',,,,,הדרכה בי,
קריאה ביקורתית ומדעית,Critical and Scientific Reading,0162-1101-04,רפואה/סיעוד - תכנית בסיסית,א',,,,,הדרכה בי,
קריאה ביקורתית ומדעית,Critical and Scientific Reading,0162-1101-05,רפואה/סיעוד - תכנית בסיסית,א',,,,,הדרכה בי,
מבוא לסיעוד בקהילה,Introduction to Nursing in the Community,0162-1105-01,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור ות,
מבוא לסיעוד בקהילה,Introduction to Nursing in the Community,0162-1105-02,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור ות,
מבוא לסיעוד בקהילה,Introduction to Nursing in the Community,0162-1105-03,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור ות,
מבוא לסיעוד בקהילה,Introduction to Nursing in the Community,0162-1105-04,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור ות,
מבוא לסיעוד בקהילה,Introduction to Nursing in the Community,0162-1105-05,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור ות,
פתולוגיה כללית,General Pathology,0162-1116-01,רפואה/סיעוד - תכנית בסיסית,ב',1400 - 1200,ב',,,שיעור,"ד""ר ליפשיץ ליאורה"
פתולוגיה כללית,General Pathology,0162-1116-02,רפואה/סיעוד - תכנית בסיסית,ב',1600 - 1400,ב',,,שיעור,"ד""ר ליפשיץ ליאורה"
כימיה,Chemistry,0162-1119-01,רפואה/סיעוד - תכנית בסיסית,א',1100 - 0800,א',,,שיעור,"ד""ר שניצר אדית"
כימיה,Chemistry,0162-1119-02,רפואה/סיעוד - תכנית בסיסית,א',1400 - 1100,א',,,שיעור,גב' שמש הדס
ביוכימיה,Biochemistry,0162-1120-01,רפואה/סיעוד - תכנית בסיסית,ב',1400 - 1100,ד',,,שיעור,"ד""ר שניצר אדית"
ביוכימיה,Biochemistry,0162-1120-02,רפואה/סיעוד - תכנית בסיסית,ב',1100 - 0800,ד',,,שיעור,"ד""ר שניצר אדית"
התנהגות מקצועית ותיאוריות בסיעוד,Professional Behavior and Theories in Nursing,0162-1131-01,רפואה/סיעוד - תכנית בסיסית,א',1000 - 0800,ד',,,שיעור,"ד""ר ורשבסקי סיגלית"
התנהגות מקצועית ותיאוריות בסיעוד,Professional Behavior and Theories in Nursing,0162-1131-02,רפואה/סיעוד - תכנית בסיסית,א',1500 - 1300,ד',,,שיעור,"ד""ר יצחקי מיכל"
קבלת החלטות בסיעוד,Decision Making in Nursing,0162-1132-01,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
קבלת החלטות בסיעוד,Decision Making in Nursing,0162-1132-02,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
קבלת החלטות בסיעוד,Decision Making in Nursing,0162-1132-03,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
קבלת החלטות בסיעוד,Decision Making in Nursing,0162-1132-04,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
קבלת החלטות בסיעוד,Decision Making in Nursing,0162-1132-05,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
יסודות האומדן בסיעוד,Assessment Fundamentals in Nursing,0162-1133-01,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
יסודות האומדן בסיעוד,Assessment Fundamentals in Nursing,0162-1133-02,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
יסודות האומדן בסיעוד,Assessment Fundamentals in Nursing,0162-1133-03,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
יסודות האומדן בסיעוד,Assessment Fundamentals in Nursing,0162-1133-04,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
יסודות האומדן בסיעוד,Assessment Fundamentals in Nursing,0162-1133-05,רפואה/סיעוד - תכנית בסיסית,א',,,,,שיעור,
אומדן פיזיקאלי,Physical Assessment,0162-1134-01,רפואה/סיעוד - תכנית בסיסית,ב',,,,,שיעור,
אומדן פיזיקאלי,Physical Assessment,0162-1134-02,רפואה/סיעוד - תכנית בסיסית,ב',,,,,שיעור,
אומדן פיזיקאלי,Physical Assessment,0162-1134-03,רפואה/סיעוד - תכנית בסיסית,ב',,,,,שיעור,
אומדן פיזיקאלי,Physical Assessment,0162-1134-04,רפואה/סיעוד - תכנית בסיסית,ב',,,,,שיעור,
אומדן פיזיקאלי,Physical Assessment,0162-1134-05,רפואה/סיעוד - תכנית בסיסית,ב',,,,,שיעור,
שיטות מחקר לסיעוד,Research Methods for Nurses,0162-1137-01,רפואה/סיעוד - תכנית בסיסית,א',1300 - 1000,ד',,,שיעור,"ד""ר פרידלנדר ליפסיק אנאבל"
שיטות מחקר לסיעוד,Research Methods for Nurses,0162-1137-02,רפואה/סיעוד - תכנית בסיסית,א',1100 - 0800,ד',,,שיעור,"ד""ר אורן ענת"
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-01,רפואה/סיעוד - תכנית בסיסית,ב',1100 - 0800,ד',,,שיעור,"ד""ר אורן ענת"
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-02,רפואה/סיעוד - תכנית בסיסית,ב',1100 - 0800,א',,,שיעור,"ד""ר פרידלנדר ליפסיק אנאבל"
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-03,רפואה/סיעוד - תכנית בסיסית,ב',1000 - 0800,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-04,רפואה/סיעוד - תכנית בסיסית,ב',1000 - 0800,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-05,רפואה/סיעוד - תכנית בסיסית,ב',1000 - 0800,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-06,רפואה/סיעוד - תכנית בסיסית,ב',1000 - 0800,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-07,רפואה/סיעוד - תכנית בסיסית,ב',1200 - 1000,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-08,רפואה/סיעוד - תכנית בסיסית,ב',1200 - 1000,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-09,רפואה/סיעוד - תכנית בסיסית,ב',1200 - 1000,ב',,,תרגיל,
סטטיסטיקה לסיעוד,Statistics for Nurses,0162-1139-10,רפואה/סיעוד - תכנית בסיסית,ב',1200 - 1000,ב',,,תרגיל,
מבוא לסוציולוגיה וסוציולוגיה של הבריאות,Introduction to Sociolgy and Sociology of Health,0162-1142-01,רפואה/סיעוד - תכנית בסיסית,א',1700 - 1400,ב',,,שיעור,"ד""ר זיו  וייס רבקה"
מבוא לסוציולוגיה וסוציולוגיה של הבריאות,Introduction to Sociolgy and Sociology of Health,0162-1142-02,רפואה/סיעוד - תכנית בסיסית,א',1100 - 0800,א',,,שיעור,"ד""ר זיו  וייס רבקה"
פסיכולוגיה התפתחותית,Developmental Psychology,0162-1143-01,רפואה/סיעוד - תכנית בסיסית,ב',1300 - 1100,א',,,שיעור,"ד""ר גוטמן עידית"
פסיכולוגיה התפתחותית,Developmental Psychology,0162-1143-02,רפואה/סיעוד - תכנית בסיסית,ב',1300 - 1100,ד',,,שיעור,"ד""ר גוטמן עידית"
פתולוגיה ספציפית,Specific Pathology,0162-2115-01,רפואה/סיעוד - תכנית בסיסית,א',1400 - 1200,א',,,שיעור,"ד""ר ליפשיץ ליאורה"
